player,age,team,league,war,games,plate_appearances,at_bats,runs,hits,homeruns,runs_batted_in,stolen_bases,bases_on_balls,strikeouts,on_base_percentage,slugging_percentage,on_base_plus_slugging_percentage,adjusted_on_base_plus_slugging_percentage,total_bases,sacrifice_hits,sacrifice_flys,position
Adam Frazier*,34.0,LAA,AL,0.1,40.0,93.0,81.0,15.0,17.0,1.0,6.0,0.0,9.0,28.0,0.297,0.333,0.63,78.0,27.0,2.0,0.0,4H/71D
Tommy Troy,24.0,ARI,NL,0.5,27.0,93.0,83.0,17.0,20.0,3.0,7.0,0.0,10.0,19.0,0.323,0.41,0.732,102.0,34.0,0.0,0.0,7/8DH
J.C. Escarra*,31.0,NYY,AL,0.0,32.0,92.0,85.0,8.0,16.0,0.0,7.0,0.0,6.0,18.0,0.239,0.271,0.51,42.0,23.0,0.0,1.0,2/H
Leo Jiménez,25.0,MIA,NL,-0.9,31.0,92.0,79.0,7.0,14.0,0.0,1.0,1.0,7.0,21.0,0.283,0.203,0.485,41.0,16.0,0.0,1.0,5/4DH6
Graham Pauley*,25.0,MIA,NL,-0.6,33.0,91.0,85.0,8.0,14.0,1.0,9.0,1.0,5.0,22.0,0.211,0.271,0.482,36.0,23.0,1.0,0.0,5/3H
James Outman*,29.0,2TM,AL,-0.2,59.0,91.0,83.0,11.0,13.0,1.0,5.0,5.0,7.0,41.0,0.231,0.265,0.496,37.0,22.0,0.0,0.0,87H/9D
James Outman*,29.0,MIN,AL,-0.3,49.0,70.0,64.0,9.0,10.0,0.0,3.0,4.0,5.0,29.0,0.229,0.25,0.479,33.0,16.0,0.0,0.0,87H/9D
James Outman*,29.0,DET,AL,0.1,10.0,21.0,19.0,2.0,3.0,1.0,2.0,1.0,2.0,12.0,0.238,0.316,0.554,52.0,6.0,0.0,0.0,/8H
Jake Fraley*,31.0,TBR,AL,0.0,28.0,90.0,82.0,6.0,19.0,2.0,5.0,3.0,8.0,25.0,0.3,0.39,0.69,90.0,32.0,0.0,0.0,9/HD
Bo Naylor*,26.0,CLE,AL,-0.5,28.0,90.0,84.0,4.0,12.0,2.0,7.0,0.0,6.0,21.0,0.2,0.238,0.438,23.0,20.0,0.0,0.0,2/H
Taylor Trammell*,28.0,HOU,AL,0.4,32.0,90.0,82.0,11.0,23.0,2.0,9.0,1.0,6.0,32.0,0.337,0.439,0.776,115.0,36.0,1.0,0.0,87/HD9
Jordan Beck,25.0,COL,NL,-0.4,30.0,88.0,82.0,7.0,15.0,1.0,10.0,2.0,5.0,22.0,0.227,0.305,0.532,40.0,25.0,0.0,1.0,79/H
Esteury Ruiz,27.0,MIA,NL,0.7,46.0,88.0,74.0,19.0,19.0,4.0,9.0,14.0,8.0,25.0,0.356,0.541,0.897,151.0,40.0,0.0,1.0,97H/8D
Justin Foscue,27.0,TEX,AL,0.1,35.0,87.0,78.0,10.0,20.0,4.0,10.0,0.0,6.0,21.0,0.322,0.462,0.783,127.0,36.0,0.0,1.0,4H/D3
Noelvi Marté,24.0,CIN,NL,-0.6,27.0,87.0,80.0,9.0,16.0,3.0,4.0,4.0,7.0,23.0,0.264,0.363,0.627,70.0,29.0,0.0,0.0,9/H8
Nick Yorke,24.0,PIT,NL,-0.5,27.0,86.0,76.0,6.0,15.0,1.0,6.0,0.0,7.0,17.0,0.279,0.276,0.555,54.0,21.0,0.0,1.0,5/H937D
Andrew McCutchen,39.0,TEX,AL,-0.4,37.0,83.0,73.0,8.0,14.0,1.0,5.0,0.0,9.0,22.0,0.277,0.26,0.537,59.0,19.0,0.0,1.0,DH/79
Donovan Walton*,32.0,LAA,AL,0.7,26.0,83.0,79.0,13.0,26.0,3.0,11.0,0.0,3.0,14.0,0.354,0.532,0.885,147.0,42.0,1.0,0.0,5/DH4
Joey Wiemer,27.0,WSN,NL,0.6,32.0,83.0,70.0,16.0,20.0,3.0,12.0,1.0,12.0,29.0,0.398,0.514,0.912,155.0,36.0,0.0,0.0,98H/D1
Javier Báez,33.0,DET,AL,-0.4,24.0,82.0,78.0,10.0,20.0,2.0,6.0,1.0,2.0,16.0,0.28,0.397,0.678,85.0,31.0,0.0,1.0,68/4
Thomas Saggese,24.0,STL,NL,-0.7,32.0,82.0,76.0,9.0,14.0,1.0,4.0,1.0,6.0,26.0,0.244,0.276,0.52,48.0,21.0,0.0,0.0,7/6H54D
Nicky Lopez*,31.0,2TM,2LG,0.1,28.0,80.0,74.0,8.0,23.0,1.0,6.0,2.0,3.0,11.0,0.346,0.365,0.711,109.0,27.0,2.0,0.0,4/6H579
Nicky Lopez*,31.0,CHC,NL,-0.1,4.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-100.0,0.0,0.0,0.0,/5H4
Nicky Lopez*,31.0,TEX,AL,0.2,24.0,75.0,69.0,7.0,23.0,1.0,6.0,2.0,3.0,9.0,0.37,0.391,0.761,124.0,27.0,2.0,0.0,4/6H79
Braden Shewmake*,28.0,HOU,AL,0.4,28.0,79.0,74.0,8.0,18.0,3.0,8.0,0.0,2.0,13.0,0.26,0.405,0.665,82.0,30.0,2.0,1.0,56/4H
Jose Siri,30.0,LAA,AL,0.9,32.0,79.0,69.0,17.0,20.0,4.0,16.0,1.0,6.0,19.0,0.351,0.507,0.858,139.0,35.0,2.0,1.0,78/H9
Jasson Domínguez#,23.0,NYY,AL,0.4,20.0,78.0,74.0,7.0,17.0,3.0,8.0,4.0,2.0,17.0,0.26,0.432,0.692,89.0,32.0,0.0,0.0,9/D7
Rafael Marchán#,27.0,PHI,NL,-0.4,26.0,78.0,75.0,4.0,8.0,2.0,6.0,0.0,1.0,14.0,0.141,0.187,0.328,-12.0,14.0,0.0,0.0,2/H
Jake Rogers,31.0,DET,AL,-0.1,24.0,78.0,67.0,6.0,10.0,1.0,6.0,1.0,7.0,25.0,0.234,0.254,0.487,35.0,17.0,1.0,2.0,2/1H
Everson Pereira,25.0,CHW,AL,-0.1,21.0,77.0,69.0,7.0,16.0,3.0,7.0,1.0,5.0,23.0,0.299,0.42,0.719,99.0,29.0,0.0,1.0,9/D8H7
Sterlin Thompson*,25.0,COL,NL,-0.3,27.0,77.0,69.0,7.0,16.0,2.0,10.0,0.0,5.0,21.0,0.312,0.377,0.688,82.0,26.0,0.0,0.0,7D/9H
