player,age,team,league,war,games,plate_appearances,at_bats,runs,hits,homeruns,runs_batted_in,stolen_bases,bases_on_balls,strikeouts,on_base_percentage,slugging_percentage,on_base_plus_slugging_percentage,adjusted_on_base_plus_slugging_percentage,total_bases,sacrifice_hits,sacrifice_flys,position
Chandler Simpson*,25.0,TBR,AL,0.6,76.0,303.0,280.0,33.0,74.0,0.0,16.0,19.0,17.0,31.0,0.304,0.314,0.619,72.0,88.0,4.0,2.0,*7/H8
Mauricio Dubón,31.0,ATL,NL,1.8,75.0,302.0,280.0,32.0,74.0,8.0,43.0,1.0,19.0,44.0,0.316,0.418,0.733,106.0,117.0,0.0,0.0,678/5HD
Luke Keaschall,23.0,MIN,AL,0.2,76.0,302.0,265.0,38.0,66.0,2.0,24.0,11.0,29.0,47.0,0.331,0.325,0.656,83.0,86.0,0.0,3.0,*4/H9
Spencer Steer,28.0,CIN,NL,0.0,76.0,301.0,267.0,45.0,64.0,13.0,33.0,3.0,29.0,68.0,0.319,0.434,0.753,105.0,116.0,0.0,2.0,3794/H5D
Xander Bogaerts,33.0,SDP,NL,1.2,75.0,299.0,261.0,32.0,60.0,8.0,30.0,10.0,33.0,55.0,0.321,0.337,0.658,85.0,88.0,0.0,2.0,*6
Steven Kwan*,28.0,CLE,AL,0.8,73.0,299.0,251.0,32.0,53.0,1.0,13.0,3.0,39.0,32.0,0.322,0.259,0.581,67.0,65.0,3.0,2.0,*87/H
Ceddanne Rafaela,25.0,BOS,AL,3.7,75.0,299.0,277.0,33.0,79.0,7.0,35.0,10.0,15.0,61.0,0.336,0.448,0.783,120.0,124.0,1.0,0.0,*8/H
Dansby Swanson,32.0,CHC,NL,2.3,77.0,299.0,256.0,48.0,51.0,11.0,46.0,10.0,37.0,71.0,0.299,0.379,0.678,93.0,97.0,1.0,4.0,*6/DH
Brandon Marsh*,28.0,PHI,NL,2.1,76.0,297.0,278.0,46.0,90.0,12.0,41.0,8.0,14.0,74.0,0.357,0.518,0.875,135.0,144.0,0.0,3.0,*789/H
Masyn Winn,24.0,STL,NL,1.2,70.0,297.0,261.0,32.0,64.0,3.0,31.0,6.0,25.0,58.0,0.32,0.337,0.657,87.0,88.0,0.0,5.0,*6
Brayan Rocchio#,25.0,CLE,AL,2.2,78.0,296.0,260.0,31.0,70.0,5.0,33.0,12.0,24.0,40.0,0.344,0.388,0.732,106.0,101.0,2.0,3.0,*64
Spencer Horwitz*,28.0,PIT,NL,1.2,74.0,295.0,246.0,36.0,69.0,10.0,33.0,1.0,40.0,40.0,0.386,0.455,0.842,131.0,112.0,0.0,4.0,*3/HD
Maikel Garcia,26.0,KCR,AL,1.7,69.0,294.0,268.0,32.0,70.0,3.0,30.0,5.0,24.0,45.0,0.32,0.373,0.693,96.0,100.0,0.0,2.0,*5/6HD
Jung Hoo Lee*,27.0,SFG,NL,1.5,72.0,293.0,274.0,41.0,91.0,5.0,30.0,5.0,13.0,27.0,0.365,0.478,0.843,140.0,131.0,0.0,3.0,*98/H
Vinnie Pasquantino*,28.0,KCR,AL,0.3,68.0,291.0,254.0,28.0,57.0,6.0,32.0,3.0,32.0,51.0,0.309,0.35,0.66,87.0,89.0,0.0,4.0,*3/H
Jac Caglianone*,23.0,KCR,AL,2.1,76.0,289.0,261.0,39.0,70.0,14.0,30.0,3.0,24.0,87.0,0.339,0.483,0.822,130.0,126.0,0.0,0.0,*93/DH
Nolan Arenado,35.0,ARI,NL,1.1,75.0,288.0,256.0,34.0,61.0,8.0,33.0,3.0,23.0,58.0,0.313,0.387,0.699,93.0,99.0,0.0,3.0,*5/DH
Liam Hicks*,27.0,MIA,NL,2.1,73.0,288.0,248.0,40.0,69.0,13.0,53.0,1.0,29.0,28.0,0.359,0.472,0.831,134.0,117.0,1.0,5.0,2D3H
Matt McLain,26.0,CIN,NL,0.2,75.0,288.0,250.0,31.0,50.0,8.0,25.0,11.0,34.0,75.0,0.303,0.348,0.651,79.0,87.0,1.0,0.0,*46/H
Carter Jensen*,22.0,KCR,AL,0.9,75.0,287.0,254.0,39.0,62.0,11.0,42.0,1.0,27.0,76.0,0.314,0.437,0.751,110.0,111.0,0.0,5.0,2D/H
Bryson Stott*,28.0,PHI,NL,0.3,75.0,286.0,261.0,30.0,62.0,7.0,40.0,15.0,20.0,49.0,0.296,0.398,0.694,87.0,104.0,2.0,1.0,*4/H
Ezequiel Tovar,24.0,COL,NL,-0.5,75.0,284.0,264.0,24.0,55.0,6.0,25.0,4.0,15.0,81.0,0.254,0.33,0.583,54.0,87.0,0.0,3.0,*6/H
Oneil Cruz*,27.0,PIT,NL,1.2,64.0,283.0,250.0,45.0,66.0,14.0,44.0,21.0,30.0,98.0,0.35,0.472,0.822,124.0,118.0,0.0,0.0,*8/DH
Max Muncy*,35.0,LAD,NL,3.2,75.0,282.0,244.0,47.0,65.0,16.0,34.0,1.0,35.0,68.0,0.365,0.508,0.873,142.0,124.0,0.0,0.0,*5/H
Michael Harris II*,25.0,ATL,NL,2.5,73.0,279.0,265.0,37.0,81.0,14.0,42.0,4.0,12.0,57.0,0.337,0.513,0.85,136.0,136.0,0.0,1.0,*8/HD7
Jake Bauers*,30.0,MIL,NL,1.5,69.0,276.0,236.0,45.0,64.0,14.0,48.0,5.0,37.0,69.0,0.377,0.508,0.885,143.0,120.0,0.0,0.0,*37/9HD
Seiya Suzuki,31.0,CHC,NL,2.3,65.0,275.0,240.0,36.0,62.0,10.0,31.0,0.0,31.0,74.0,0.349,0.425,0.774,121.0,102.0,0.0,1.0,9D/H
Andrés Giménez*,27.0,TOR,AL,0.5,77.0,272.0,251.0,22.0,58.0,7.0,33.0,10.0,8.0,53.0,0.274,0.371,0.645,74.0,93.0,2.0,3.0,*6/H
