player,age,team,league,war,games,plate_appearances,at_bats,runs,hits,homeruns,runs_batted_in,stolen_bases,bases_on_balls,strikeouts,on_base_percentage,slugging_percentage,on_base_plus_slugging_percentage,adjusted_on_base_plus_slugging_percentage,total_bases,sacrifice_hits,sacrifice_flys,position
Ian Happ#,31.0,CHC,NL,2.1,77.0,337.0,288.0,54.0,66.0,16.0,38.0,4.0,44.0,106.0,0.338,0.462,0.8,127.0,133.0,0.0,1.0,*7/D
Miguel Vargas,26.0,CHW,AL,2.8,78.0,337.0,283.0,52.0,68.0,17.0,45.0,10.0,46.0,58.0,0.354,0.47,0.824,129.0,133.0,0.0,2.0,*53/DH
Christian Walker,35.0,HOU,AL,1.5,81.0,337.0,304.0,43.0,71.0,18.0,52.0,0.0,28.0,75.0,0.306,0.464,0.769,111.0,141.0,0.0,1.0,*3/DH
Bobby Witt Jr.,26.0,KCR,AL,4.3,76.0,337.0,299.0,40.0,88.0,10.0,32.0,28.0,35.0,57.0,0.368,0.465,0.833,134.0,139.0,0.0,2.0,*6
Brice Turang*,26.0,MIL,NL,3.1,74.0,336.0,283.0,58.0,75.0,11.0,47.0,13.0,49.0,87.0,0.371,0.459,0.831,129.0,130.0,2.0,2.0,*4/6
Ketel Marte#,32.0,ARI,NL,1.4,76.0,335.0,306.0,42.0,81.0,13.0,47.0,1.0,25.0,47.0,0.319,0.461,0.78,114.0,141.0,0.0,3.0,*4D/H
Mike Trout,34.0,LAA,AL,2.8,74.0,335.0,265.0,54.0,62.0,17.0,36.0,7.0,66.0,83.0,0.394,0.472,0.866,144.0,125.0,0.0,0.0,*8D
Shea Langeliers,28.0,ATH,AL,3.0,73.0,334.0,303.0,49.0,80.0,19.0,42.0,1.0,26.0,64.0,0.329,0.505,0.834,124.0,153.0,0.0,1.0,*2D
CJ Abrams*,25.0,WSN,NL,3.0,79.0,333.0,290.0,51.0,83.0,17.0,57.0,13.0,30.0,67.0,0.369,0.528,0.897,149.0,153.0,0.0,3.0,*6/HD
Wilyer Abreu*,27.0,BOS,AL,3.0,77.0,333.0,298.0,35.0,81.0,10.0,38.0,6.0,30.0,64.0,0.335,0.44,0.775,118.0,131.0,1.0,3.0,*9
Matt Chapman,33.0,SFG,NL,2.8,79.0,333.0,289.0,35.0,70.0,7.0,42.0,0.0,36.0,74.0,0.333,0.381,0.714,105.0,110.0,0.0,3.0,*5/D
Luis Arraez*,29.0,SFG,NL,2.4,75.0,332.0,299.0,40.0,96.0,3.0,30.0,6.0,18.0,13.0,0.358,0.445,0.803,129.0,133.0,5.0,7.0,*4/DH
Willy Adames,30.0,SFG,NL,1.1,78.0,331.0,311.0,40.0,70.0,14.0,32.0,1.0,18.0,91.0,0.269,0.428,0.697,96.0,133.0,0.0,1.0,*6
Brandon Lowe*,31.0,PIT,NL,2.8,75.0,331.0,293.0,50.0,73.0,19.0,51.0,0.0,33.0,83.0,0.326,0.515,0.842,128.0,151.0,0.0,3.0,*4/DH
Yandy Díaz,34.0,TBR,AL,2.5,75.0,330.0,287.0,41.0,95.0,12.0,51.0,1.0,32.0,44.0,0.412,0.512,0.924,155.0,147.0,0.0,2.0,*D
Tyler Soderstrom*,24.0,ATH,AL,2.3,78.0,330.0,285.0,41.0,70.0,13.0,41.0,1.0,42.0,58.0,0.345,0.467,0.812,119.0,133.0,0.0,1.0,*7/HD
Jordan Walker,24.0,STL,NL,3.0,77.0,330.0,303.0,46.0,88.0,18.0,58.0,10.0,23.0,84.0,0.342,0.521,0.864,141.0,158.0,0.0,2.0,*9/DH
Corbin Carroll*,25.0,ARI,NL,3.5,77.0,329.0,287.0,48.0,80.0,13.0,42.0,9.0,36.0,70.0,0.365,0.537,0.901,147.0,154.0,0.0,2.0,*9/D
Cole Young*,22.0,SEA,AL,2.3,82.0,328.0,295.0,34.0,74.0,7.0,37.0,2.0,22.0,58.0,0.315,0.369,0.684,96.0,109.0,1.0,3.0,*4/6
Jakob Marsee*,25.0,MIA,NL,-0.2,79.0,327.0,273.0,40.0,54.0,4.0,19.0,18.0,43.0,77.0,0.321,0.3,0.621,78.0,82.0,3.0,1.0,*8/HD
Vladimir Guerrero Jr.,27.0,TOR,AL,0.7,77.0,326.0,282.0,44.0,77.0,4.0,32.0,6.0,35.0,35.0,0.356,0.358,0.714,96.0,101.0,0.0,5.0,*3/DH
Chase Meidroth,24.0,CHW,AL,1.4,77.0,325.0,289.0,44.0,77.0,6.0,25.0,2.0,27.0,81.0,0.331,0.377,0.708,99.0,109.0,4.0,2.0,*4/6H5
Geraldo Perdomo#,26.0,ARI,NL,2.2,77.0,325.0,266.0,35.0,62.0,4.0,27.0,11.0,48.0,40.0,0.349,0.338,0.687,93.0,90.0,4.0,5.0,*6/H
Ben Rice*,27.0,NYY,AL,2.0,75.0,325.0,281.0,56.0,79.0,22.0,53.0,2.0,40.0,76.0,0.372,0.584,0.956,162.0,164.0,0.0,2.0,3D/H
