pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,miss_distance,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2026-09-22,95.3,-2.0,5.8,"Cruz, Oneil",665833,669467,,ball,,,,,13.0,,R,L,R,PIT,STL,B,,,1,2,2026,-0.37,0.9,-1.11093029357732,0.9709508273795284,,,,0,2,Bot,,,,,,,3.1761056459570134,-138.58973488835647,-8.87084368890843,-5.448291095515442,30.185206613581823,-18.87307239285783,3.515764436,1.774311024,,,,95.9,2234.0,6.6,823328,699024,676475,802139,695336,691026,663494,701675,691023,53.89,,,,,,,,10,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,204.0,0.004,0.046,,,,,-0.046,,0,0,0.544,0.544,27,27,28,28,1,0,7.0,2.0,,,1.61,0.37,-0.37,50.5,,,,,
FS,2026-09-22,90.7,-1.94,5.71,"Cruz, Oneil",665833,669467,,ball,,,,,14.0,,R,L,R,PIT,STL,B,,,0,2,2026,-1.18,-0.08,0.4534037340902836,0.679623583768731,,,,0,2,Bot,,,,,,,8.499018163570335,-131.84838962552186,-6.246521695087145,-15.536799652968895,26.97093884995226,-31.94046066409169,3.515764436,1.774311024,,,,91.2,1725.0,6.5,823328,699024,676475,802139,695336,691026,663494,701675,691023,53.96,,,,,,,,10,3,Split-Finger,0,0,0,0,0,0,0,0,Infield shade,Standard,237.0,0.002,0.022,,,,,-0.022,,0,0,0.542,0.542,27,27,28,28,1,0,7.0,2.0,,,2.84,1.18,-1.18,46.5,,,,,
FF,2026-09-22,96.4,-1.83,5.96,"Cruz, Oneil",665833,669467,,foul,,,,,3.0,,R,L,R,PIT,STL,S,,,0,1,2026,-0.18,1.15,0.5494298071216436,3.4552874581401345,,,,0,2,Bot,,,,,,,6.668740205132531,-140.2748954806997,-3.605120965728144,-3.794614033709918,29.210518947448595,-16.35375200418181,3.515764436,1.774311024,183.0,63.8,44.0,97.0,2204.0,6.5,823328,699024,676475,802139,695336,691026,663494,701675,691023,54.05,,,,,,,,10,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,199.0,-0.006,-0.054,68.4,5.3,,,0.054,88.0,0,0,0.548,0.548,27,27,28,28,1,0,7.0,2.0,,,1.29,0.18,-0.18,54.0,-12.60894570445652,17.432561312355517,38.00577258668077,26.605888961746096,21.69354568439865
CU,2026-09-22,80.4,-1.23,5.15,"Cruz, Oneil",665833,685464,field_out,hit_into_play,,,,,8.0,Oneil Cruz flies out to center fielder Nathan Church.,R,L,R,PIT,STL,X,8.0,fly_ball,2,2,2026,0.63,-1.03,0.0250117478223477,1.6646170520722494,,668804.0,,0,8,Bot,113.19,91.73,,,,,1.5443494293328546,-117.21416968998504,1.1392312191669751,5.584382292821069,20.71076357143768,-42.13725755141868,3.515764436,1.774311024,270.0,81.2,31.0,81.8,2427.0,7.0,823328,699024,676475,802139,695336,691026,663494,701675,691023,53.5,0.08,0.093,0.0,1.0,0.0,0.0,3.0,58,5,Curveball,2,0,2,0,0,2,2,0,Standard,Standard,35.0,-0.009,-0.234,66.7,7.4,,0.142,0.234,88.0,2,2,0.954,0.954,26,27,26,28,1,3,4.0,2.0,,,4.53,-0.63,0.63,41.5,3.9428309248457256,-13.926287913698308,35.47005662882663,35.09788774162295,36.12292472004033
CU,2026-09-22,81.7,-1.08,5.05,"Cruz, Oneil",665833,685464,,blocked_ball,,,,,14.0,,R,L,R,PIT,STL,B,,,1,2,2026,0.23,-0.94,0.7557099752310916,0.4031659653014152,,668804.0,,0,8,Bot,,,,,,,3.683091459459197,-118.85784188317524,-1.6898079222876483,1.2935615968351086,26.303215797522142,-40.87382384048031,3.515764436,1.774311024,,,,82.2,2340.0,7.0,823328,699024,676475,802139,695336,691026,663494,701675,691023,53.53,,,,,,,,58,4,Curveball,2,0,2,0,0,2,2,0,Standard,Standard,34.0,0.001,0.028,,,,,-0.028,,2,2,0.953,0.953,26,27,26,28,1,3,4.0,2.0,,,4.4,-0.23,0.23,40.2,,,,,
FF,2026-09-22,96.4,-1.71,6.01,"Cruz, Oneil",665833,669467,,called_strike,,,,,3.0,,R,L,R,PIT,STL,S,,,0,0,2026,-0.26,1.19,0.3881289022190461,3.121489841306325,,,,0,2,Bot,,,,,,,6.120675650657622,-140.2395747854487,-4.673572353875073,-4.780082403327647,29.96065624857207,-15.636874009194075,3.515764436,1.774311024,,,,96.8,2317.0,6.4,823328,699024,676475,802139,695336,691026,663494,701675,691023,54.09,,,,,,,,10,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,202.0,-0.003,-0.041,,,,,0.041,,0,0,0.551,0.551,27,27,28,28,1,0,7.0,2.0,,,1.26,0.26,-0.26,54.8,,,,,
FF,2026-09-22,95.8,-0.98,5.26,"Cruz, Oneil",665833,685464,,swinging_strike,,,,,2.0,,R,L,R,PIT,STL,S,,,1,1,2026,-0.01,1.17,0.1165911756118622,3.298251839525059,,668804.0,,0,8,Bot,,,,,,,2.920558635125376,-139.48982144970932,-2.1267516275848948,-0.7958670262617826,31.346989870051143,-16.589237187942864,3.515764436,1.774311024,,,,97.0,2502.0,6.9,823328,699024,676475,802139,695336,691026,663494,701675,691023,53.58,,,,,,,,58,3,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,205.0,-0.002,-0.055,76.1,5.9,0.1,,0.055,,2,2,0.955,0.955,26,27,26,28,1,3,4.0,2.0,,,1.31,0.01,-0.01,46.7,-9.031190341491753,19.56960596000953,33.2424669064929,33.241729182687926,20.315296577846063
FF,2026-09-22,95.8,-0.96,5.29,"Cruz, Oneil",665833,685464,,called_strike,,,,,8.0,,R,L,R,PIT,STL,S,,,1,0,2026,-0.16,1.45,-0.082838131958921,2.106552518987281,,668804.0,,0,8,Bot,,,,,,,2.6773161051210623,-139.37953269713233,-5.952066902784008,-2.6804004539522275,33.74909093354317,-12.10554572712555,3.515764436,1.774311024,,,,96.7,2515.0,7.0,823328,699024,676475,802139,695336,691026,663494,701675,691023,53.49,,,,,,,,58,2,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,210.0,-0.001,-0.058,,,,,0.058,,2,2,0.956,0.956,26,27,26,28,1,3,4.0,2.0,,,1.05,0.16,-0.16,45.6,,,,,
FF,2026-09-22,95.1,-0.96,5.27,"Cruz, Oneil",665833,685464,,ball,,,,,11.0,,R,L,R,PIT,STL,B,,,0,0,2026,-0.3,1.27,-0.8533930450191389,3.009413643035224,,668804.0,,0,8,Bot,,,,,,,0.9533743391139984,-138.4619249089372,-2.995625795658571,-4.016004030657381,32.280370010468616,-15.477110051441498,3.515764436,1.774311024,,,,96.1,2427.0,6.9,823328,699024,676475,802139,695336,691026,663494,701675,691023,53.59,,,,,,,,58,1,4-Seam Fastball,2,0,2,0,0,2,2,0,Standard,Standard,209.0,0.0,0.033,,,,,-0.033,,2,2,0.956,0.956,26,27,26,28,1,3,4.0,2.0,,,1.26,0.3,-0.3,45.5,,,,,
FC,2026-09-20,88.7,-2.43,6.4,"Cruz, Oneil",665833,608379,field_out,hit_into_play,,,,,6.0,Oneil Cruz flies out sharply to center fielder Tyler Tolbert.,R,L,R,PIT,KC,X,8.0,fly_ball,0,0,2026,0.29,0.66,0.3457515545717464,2.417623486355901,,,,0,6,Bot,156.8,62.9,,,,,6.154011896464049,-129.1458841804053,-4.994491981313777,2.211766347697562,22.59003659194005,-23.976109082583797,3.515764436,1.774311024,344.0,110.9,51.0,90.3,1991.0,6.9,823329,571912,521692,686681,672580,677951,670231,686475,679845,53.61,0.08,0.142,0.0,1.0,0.0,0.0,5.0,45,1,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,185.0,-0.034,-0.259,87.5,8.1,,0.272,0.259,110.9,0,0,0.576,0.576,34,27,35,28,3,2,5.0,1.0,,2.0,2.2,-0.29,0.29,49.3,14.962390021518123,-11.731298047351308,35.948092638263034,30.763219557388567,42.11254195067806
