Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
306,Roman Anthony*,22,BOS,AL,0.8,30,130,109,12,25,5,1,1,5,2,0,20,33,.229,.354,.321,.675,94,.314,96,35,0,1,0,0,1,7D/9H,,anthoro01
307,Drew Millas#,28,WSN,NL,-0.5,44,130,113,16,20,4,0,2,9,0,0,10,30,.177,.262,.265,.527,49,.245,45,30,0,3,2,0,0,2/H,,milladr01
308,Yoán Moncada#,31,LAA,AL,-0.3,41,130,111,9,21,1,1,3,10,1,0,17,45,.189,.308,.297,.605,73,.283,74,33,2,2,0,0,0,5/HD,,moncayo01
309,Miguel Rojas,37,LAD,NL,0.6,52,130,114,12,31,6,0,2,13,0,1,9,14,.272,.328,.377,.705,98,.314,98,43,5,2,2,3,0,H46/513D,,rojasmi02
310,Andrew Vaughn,28,MIL,NL,1.3,40,130,111,16,39,12,1,2,24,0,0,16,14,.351,.438,.532,.970,167,.427,173,59,2,2,0,1,1,3H/D5,,vaughan01
311,Yainer Diaz,27,HOU,AL,-0.2,32,129,122,9,30,6,0,3,16,0,1,5,20,.246,.271,.369,.640,77,.282,74,45,4,0,0,2,0,2/DH,,diazya02
312,Dane Myers,30,CIN,NL,0.2,60,129,110,17,28,5,0,3,13,5,0,16,32,.255,.357,.382,.738,103,.346,107,42,4,2,0,1,0,8H/D,,myersda01
313,Agustín Ramírez,24,MIA,NL,-0.2,31,129,113,14,26,5,1,2,14,3,1,13,28,.230,.318,.345,.663,89,.296,84,39,5,2,0,1,1,2D/H,,ramirag01
314,Dylan Crews,24,WSN,NL,0.5,32,128,122,19,28,4,0,5,17,3,0,2,26,.230,.266,.385,.651,81,.287,73,47,2,4,0,0,0,98/7HD,,crewsdy01
315,David Fry,30,CLE,AL,0.0,51,128,109,14,23,4,0,4,9,0,0,19,39,.211,.328,.358,.686,94,.311,94,39,3,0,0,0,1,H9D7/253,,fryda01
316,Ke'Bryan Hayes,29,CIN,NL,-0.2,44,128,120,10,17,2,1,2,5,1,0,8,20,.142,.195,.225,.420,15,.207,13,27,5,0,0,0,0,5/H,,hayeske01
317,Joe Mack*,23,MIA,NL,0.8,38,128,116,18,30,5,0,4,18,0,0,9,33,.259,.317,.405,.723,104,.317,101,47,2,1,2,0,0,2/H,,mackjo02
318,Alex Call,31,LAD,NL,0.8,49,124,103,19,27,5,0,1,16,1,1,16,18,.262,.371,.340,.711,102,.338,114,35,2,3,0,2,0,7H/98D,,callal02
319,Michael Conforto*,33,CHC,NL,0.2,50,124,107,14,24,10,0,4,15,1,0,16,38,.224,.323,.430,.752,114,.332,112,46,3,0,0,1,0,DH97,,confomi01
320,Jonah Heim#,31,2TM,2LG,0.6,37,124,111,15,27,8,0,6,18,0,0,11,21,.243,.306,.477,.784,113,.352,118,53,3,0,0,2,0,2/HD35,,heimjo01
320,Jonah Heim#,31,ATL,NL,-0.2,12,45,39,4,9,4,0,1,8,0,0,5,5,.231,.311,.410,.721,102,.315,98,16,1,0,0,1,0,2,,heimjo01
320,Jonah Heim#,31,ATH,AL,0.8,25,79,72,11,18,4,0,5,10,0,0,6,16,.250,.304,.514,.818,118,.373,130,37,2,0,0,1,0,2/HD35,,heimjo01
321,José Fermín,27,STL,NL,0.0,45,123,112,13,31,5,0,3,15,3,0,9,18,.277,.328,.402,.730,106,.334,109,45,4,0,0,1,0,7H8/54693,,fermijo01
322,Nick Castellanos,34,SDP,NL,-1.0,39,122,115,9,22,5,0,4,20,2,0,5,34,.191,.221,.339,.560,54,.258,52,39,1,0,0,2,1,9/DH73,,casteni01
323,Brenton Doyle,28,COL,NL,-0.4,43,122,111,21,23,4,0,1,4,9,2,11,40,.207,.279,.270,.549,47,.269,45,30,0,0,0,0,0,8/H,,doylebr02
324,Ryan Waldschmidt,23,ARI,NL,0.3,33,122,112,11,29,9,1,0,8,5,1,8,40,.259,.314,.357,.671,87,.313,88,40,0,1,0,0,0,87/DH,,waldsry01
325,Hao-Yu Lee,23,DET,AL,-0.2,43,121,115,8,29,5,1,2,10,1,1,5,34,.252,.283,.365,.649,78,.283,72,42,1,0,1,0,0,45/HD,,leeha02
326,Anthony Volpe,25,NYY,AL,0.9,32,121,104,16,27,5,1,1,13,7,3,17,27,.260,.364,.356,.719,102,.337,110,37,0,0,0,0,0,6/H,,volpean01
327,Austin Hedges,33,CLE,AL,0.6,38,120,105,12,28,7,0,1,9,1,1,10,20,.267,.333,.362,.695,96,.326,106,38,3,1,3,1,0,2/1H,,hedgeau01
